"filename", "language", "Python", "comment", "blank", "total"
"/home/sbhat/Desktop/inv-orca/run_sim.py", "Python", -1, 0, 2, 1
"/home/sbhat/Desktop/inv-orca/sim/agent.py", "Python", 52, -2, -2, 48
"Total", "-", 51, -2, 0, 49
